,0
0,1086948.8057700943
1,1086141.7399323157
2,1083192.6554011542
3,1097418.2286934922
4,1101307.8310349754
5,1108537.8070543418
6,1111944.3287208732
7,1120119.8284100487
8,1120241.463446144
9,1121353.8230349438
10,1122059.2599568404
11,1123694.1790578272
12,1117561.2171643267
13,1123076.6613194046
14,1116011.2340052803
15,1109433.6882809312
16,1106887.12020192
17,1107118.043604791
18,1103001.6783832684
19,1098859.0700536685
20,1094651.9921379946
21,1098481.6623750883
22,1098170.1965256394
23,1106167.1080233247
24,1105421.4333059497
25,1106229.8968612251
26,1105188.8362782267
27,1110385.128060236
28,1106999.2334106795
29,1109679.2584432554
30,1104306.6168998491
31,1105591.6078546655
32,1107418.8468915066
33,1105015.2703564432
34,1105499.1409748867
35,1105906.3332805443
36,1099381.8819771863
37,1095497.8081310245
38,1090074.658978316
39,1096925.4983054188
40,1095284.5167404746
41,1092562.8819338803
42,1095279.2403159158
43,1101312.25455602
44,1100086.4923558133
45,1102476.3719857766
46,1106042.540475665
47,1083809.4522879976
48,1093396.3497976242
49,1076118.5928761258
50,1071081.2788862786
51,1078422.491199637
52,1076513.1155583255
53,1075684.556718506
54,1073066.9456027232
55,1077647.9882386457
56,1085376.63955994
57,1080553.458314964
58,1069310.8257860963
59,1075320.9469132228
60,1080787.2371185357
61,1069968.4046902263
62,1079912.54572857
