,0
0,315.7237956796307
1,1977.0455341902561
2,1021.0727178850211
3,1484.6310666033532
4,-701.1230096926447
5,-2141.9759007692337
6,1994.06981289736
7,768.8363742597867
8,4670.748083316255
9,6827.228428755887
10,-7957.401407737751
11,13468.061232368695
12,-88.87056694482453
13,3581.8562166942284
14,-14201.932921328582
15,3735.3140922398306
16,14925.986840188038
17,3059.9517890168354
18,1030.360788136255
19,5051.84942123713
20,8079.54073550622
21,439.71381263574585
22,-11593.76063995785
23,1520.71063311724
24,3699.876921877265
25,21324.531128121307
26,6832.508292242186
27,-5297.243079677457
28,24027.08281589998
29,-623.5883789486252
30,8968.708824688336
31,-9361.78888758691
32,12283.104343372863
33,7007.034150783438
34,-4942.7643898034
35,1745.2492673206143
36,-9954.351537727285
37,10502.492112630745
38,-2794.713209187379
39,-3366.332149342634
40,-8769.748210886726
41,-11639.817959535867
42,-6699.173396838829
43,22717.431563970866
44,1566.748654076364
45,15098.315886825323
46,2690.697924826294
47,6019.42649344448
48,6729.333652539179
49,-3759.628192068776
50,-11118.193801312242
51,16377.155297651421
52,-34677.241591888014
53,-477.1751639901195
54,11909.55982591561
55,-5553.190641743597
56,8434.12961950223
57,11661.320539951092
58,26667.323587380815
59,-16402.025008452823
60,-1658.5379630436655
61,0.0
