,0
0,1251894.6385543735
1,1255244.582529509
2,1255023.9799889496
3,1254756.6935022513
4,1257988.7204321425
5,1260123.0963926094
6,1259851.7005196167
7,1248251.2620142533
8,1255889.2760084702
9,1252612.64339182
10,1247214.8087392
11,1251095.5585001805
12,1251774.4511617941
13,1261566.8378702004
14,1285432.5583510064
15,1284505.9784894295
16,1283642.4118243547
17,1281784.6364880567
18,1279815.9375456423
19,1278548.3680989803
20,1278288.1174562024
21,1278001.4859817952
22,1279294.9212318326
23,1279384.2385474616
24,1279050.6234250567
25,1279050.6234250567
26,1279050.6234250567
27,1278850.944233092
28,1278742.3565248337
29,1278742.3565248337
30,1278742.3565248337
31,1278742.3565248337
32,1278742.3565248337
33,1278742.3565248337
34,1278552.6221649107
35,1279126.3229217744
36,1278941.2420414726
37,1278836.8324732918
38,1278409.717052323
39,1278583.87710851
40,1281527.5914614275
41,1282629.804742454
42,1281837.9511361974
43,1279793.5749008122
44,1281138.8039859338
45,1280973.6464015993
46,1285424.6815939127
47,1283062.840767517
48,1289314.932560239
49,1293466.0003301422
50,1290251.1035133828
51,1286344.5694040626
52,1300665.2943679348
53,1295228.3580744595
54,1289278.6769919218
55,1284253.0077277317
56,1277066.6242112657
57,1281079.6791958287
58,1278410.1542324089
59,1287675.3185038234
60,1281749.4378976617
61,1283638.8286056116
62,1293149.044298091
