,0
0,1081001.4652739307
1,1075785.930507431
2,1060987.283139836
3,1063843.9020331998
4,1062357.2604006121
5,1072503.2851504853
6,1087347.5642272967
7,1086436.5463135666
8,1085112.476409576
9,1095361.8961083596
10,1103145.4455858853
11,1097789.3144952012
12,1087276.2200348177
13,1090588.2970365642
14,1089388.4422744685
15,1089310.2256935502
16,1091680.943678894
17,1078226.7966435282
18,1075349.9834986308
19,1083927.037409475
20,1075335.597032558
21,1069988.6675409446
22,1070084.958833725
23,1074047.4640266965
24,1072578.8835660783
25,1086418.1028090206
26,1066117.0425571455
27,1064845.4834727512
28,1054395.7577697667
29,1061332.4655005496
30,1051653.1155406178
31,1048955.4332364849
32,1045047.8361535806
33,1050160.634418412
34,1047163.7739758593
35,1056838.756705702
36,1063134.4727541192
37,1062196.427854066
38,1065373.7900040895
39,1059047.5464651978
40,1056249.4149229336
41,1059891.4393167102
42,1058278.6685218515
43,1062062.7749720884
44,1059888.8355936918
45,1061786.92294037
46,1062297.4629214762
47,1059998.2936686564
48,1055340.7495443432
49,1055766.427967123
50,1053136.804981335
51,1057627.8266171054
52,1056145.3892525132
53,1062036.6273099636
54,1060999.0518243555
55,1060461.5778333629
56,1068675.6238805375
57,1032470.0051369754
58,1020524.7144359231
59,1034834.3568073013
60,1051506.5920032426
61,1063041.4405868119
62,1065137.553112727
