,0
0,1246473.572593329
1,1246472.9078993339
2,1249001.2457205376
3,1250013.2132990863
4,1252168.0796845339
5,1251352.7888472294
6,1249109.175355508
7,1254364.2353062
8,1262787.0288666473
9,1270236.2580973585
10,1281629.8404142945
11,1271150.3690060026
12,1280845.2863996208
13,1279416.7715849008
14,1285365.8117430643
15,1277573.9434342757
16,1278472.5204879737
17,1295843.4441360484
18,1285799.2236217472
19,1284434.557077203
20,1292911.4631341104
21,1300269.9485584742
22,1299905.3504099203
23,1286716.9301629965
24,1283625.7685846565
25,1281979.7088169996
26,1300170.7103597429
27,1305405.3309517521
28,1301386.0679691767
29,1324594.1660082156
30,1330101.6331367008
31,1322834.6505128073
32,1313357.1342064135
33,1322023.1430063318
34,1325583.8346329113
35,1323643.3521457843
36,1316699.7054199988
37,1308247.4366015466
38,1306814.8423158452
39,1297556.7207197086
40,1296137.245155916
41,1285479.5036972763
42,1273533.4441543038
43,1273712.6296289314
44,1295662.382713914
45,1298217.666725463
46,1310299.5874468181
47,1313685.8092439182
48,1318597.1498545525
49,1326214.3012241924
50,1325935.4328531527
51,1316587.3052674548
52,1335827.594648128
53,1317588.889303705
54,1314044.6861768558
55,1318327.2599435875
56,1317481.9623845594
57,1321431.4002616252
58,1331844.432570899
59,1351160.2080131157
60,1331233.6853623292
61,1329902.4877666743
62,1329902.4877666743
