,0
0,1355588.231800821
1,1353345.8306042883
2,1353104.5963762891
3,1353104.5963762891
4,1353104.5963762891
5,1353104.5963762891
6,1353104.5963762891
7,1354445.5784239972
8,1353134.3192650068
9,1361189.5190222883
10,1357610.7964135485
11,1357080.3596500969
12,1357080.3596500969
13,1357080.3596500969
14,1357080.3596500969
15,1357080.3596500969
16,1357080.3596500969
17,1357080.3596500969
18,1357080.3596500969
19,1357080.3596500969
20,1357080.3596500969
21,1357080.3596500969
22,1357080.3596500969
23,1357080.3596500969
24,1357080.3596500969
25,1357080.3596500969
26,1357080.3596500969
27,1357080.3596500969
28,1357080.3596500969
29,1357080.3596500969
30,1357080.3596500969
31,1357080.3596500969
32,1357080.3596500969
33,1357080.3596500969
34,1357080.3596500969
35,1357080.3596500969
36,1357080.3596500969
37,1357080.3596500969
38,1357080.3596500969
39,1357080.3596500969
40,1357080.3596500969
41,1357080.3596500969
42,1357080.3596500969
43,1357080.3596500969
44,1357080.3596500969
45,1357080.3596500969
46,1357080.3596500969
47,1357080.3596500969
48,1357080.3596500969
49,1357080.3596500969
50,1357080.3596500969
51,1357080.3596500969
52,1357080.3596500969
53,1357080.3596500969
54,1357080.3596500969
55,1357080.3596500969
56,1357080.3596500969
57,1361932.7798515307
58,1361837.7939141719
59,1361837.7939141719
60,1361837.7939141719
61,1361837.7939141719
62,1361837.7939141719
