,0
0,-93.01889274735004
1,6967.365163825685
2,-4265.450926992577
3,320.96950938366354
4,3250.6488815355115
5,1634.4909822132904
6,549.0874621095136
7,1158.027211417444
8,3433.8822158069815
9,1069.9750152609777
10,1079.6641756538302
11,309.78871555882506
12,10588.391189392423
13,-2696.145469766343
14,7020.574045430636
15,-9092.746851441218
16,4081.7445299350657
17,1956.4485048393253
18,-908.9421555153094
19,1761.7223078964744
20,4296.8270472283475
21,3575.0284366570413
22,17.904958141501993
23,72.47439268836752
24,5177.958830675576
25,-1884.2280896280427
26,-7604.748679131968
27,-3824.960375020746
28,-475.5509152216837
29,-1926.0577915231697
30,-8648.557605952257
31,9560.80984434369
32,-5121.643618880305
33,2998.8455911772326
34,7628.109358035494
35,1145.0101003625896
36,311.5754676326178
37,-1144.4810701487586
38,16074.644064367749
39,2070.3384071411565
40,13037.43975180178
41,96.8318950382527
42,173.6980433438439
43,-5187.0188360679895
44,-3011.42955869087
45,1235.6086653959937
46,2743.7033219181467
47,6894.100927218562
48,995.6319999650586
49,5684.286915200297
50,-6514.392897905316
51,8606.928731575841
52,8194.540356296813
53,-5789.967115072766
54,-356.9042418014724
55,4220.297172799241
56,-850.1033064755611
57,-6367.396693697432
58,1361.3654641343746
59,3728.563330475008
60,-7652.596410985338
61,9166.91850251006
