,0
0,-2170.8312503052875
1,245.72166013158858
2,-105.31946294009686
3,988.0906042731367
4,1359.8055247575976
5,-736.0161072793417
6,-6317.270028043073
7,8149.809478439856
8,-432.11445801565424
9,-4001.207822474651
10,10397.58082917612
11,-3744.0238366154954
12,10425.413477509515
13,24984.301076772623
14,-5616.623910557246
15,-2758.2320357682183
16,-2440.8879920961335
17,2174.714316582307
18,-1223.0595732838847
19,-235.83150055538863
20,-378.81736518186517
21,-564.8572236774489
22,-1153.9349393690936
23,-277.88773560198024
24,0.0
25,0.0
26,-161.5375387123786
27,-91.01056715543382
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,318.997319572838
34,740.550035098102
35,-192.01696172216907
36,2.299092545406893
37,-943.3862644860055
38,795.3731753258035
39,2510.1335336770862
40,1365.032317985082
41,-252.1970282541588
42,-2218.5250919673126
43,-762.1046017776243
44,1942.8390808280092
45,6739.792033751495
46,330.32470503938384
47,2371.666218467988
48,1779.460835940903
49,-211.75812265602872
50,802.2920112409629
51,6150.879260610323
52,-1003.7611100689974
53,-8146.128148720367
54,-1492.480226041982
55,-1182.2783804058563
56,4828.566840190673
57,-6957.186279974645
58,7253.244401780888
59,-8494.570880979532
60,1623.6626799830701
61,7756.00192257599
