,0
0,1264942.753497306
1,1277902.62568018
2,1299060.5879531957
3,1297761.5663656117
4,1297761.5663656117
5,1297761.5663656117
6,1297761.5663656117
7,1297761.5663656117
8,1297761.5663656117
9,1297761.5663656117
10,1297761.5663656117
11,1297761.5663656117
12,1297761.5663656117
13,1297761.5663656117
14,1297761.5663656117
15,1297761.5663656117
16,1297761.5663656117
17,1297761.5663656117
18,1297761.5663656117
19,1297761.5663656117
20,1297761.5663656117
21,1297761.5663656117
22,1297761.5663656117
23,1297761.5663656117
24,1297761.5663656117
25,1297761.5663656117
26,1297761.5663656117
27,1297761.5663656117
28,1297761.5663656117
29,1297761.5663656117
30,1297761.5663656117
31,1297761.5663656117
32,1297761.5663656117
33,1297761.5663656117
34,1297761.5663656117
35,1297761.5663656117
36,1297761.5663656117
37,1297761.5663656117
38,1297761.5663656117
39,1297761.5663656117
40,1297761.5663656117
41,1297761.5663656117
42,1297761.5663656117
43,1297761.5663656117
44,1297761.5663656117
45,1297761.5663656117
46,1297761.5663656117
47,1297761.5663656117
48,1297761.5663656117
49,1297761.5663656117
50,1297761.5663656117
51,1295669.1483374
52,1296441.2388891825
53,1296204.2532967636
54,1285754.5061084647
55,1276351.3674653051
56,1293452.4150231162
57,1281880.0916403732
58,1279024.022687416
59,1289803.6590327683
60,1270521.6064075448
61,1287209.158842662
62,1295839.722291391
