,0
0,1368344.7608089356
1,1367430.0179001312
2,1367293.3059664275
3,1367293.3059664275
4,1367293.3059664275
5,1367293.3059664275
6,1367293.3059664275
7,1367293.3059664275
8,1367293.3059664275
9,1367293.3059664275
10,1367293.3059664275
11,1367293.3059664275
12,1367293.3059664275
13,1367293.3059664275
14,1367293.3059664275
15,1367293.3059664275
16,1367293.3059664275
17,1367293.3059664275
18,1367293.3059664275
19,1367293.3059664275
20,1367293.3059664275
21,1367293.3059664275
22,1367293.3059664275
23,1367293.3059664275
24,1367293.3059664275
25,1367293.3059664275
26,1367293.3059664275
27,1367293.3059664275
28,1367269.5748268533
29,1367119.7369435956
30,1367119.7369435956
31,1367119.7369435956
32,1367119.7369435956
33,1367119.7369435956
34,1367119.7369435956
35,1367119.7369435956
36,1367119.7369435956
37,1367119.7369435956
38,1367119.7369435956
39,1367119.7369435956
40,1367119.7369435956
41,1367119.7369435956
42,1367119.7369435956
43,1367119.7369435956
44,1367119.7369435956
45,1367119.7369435956
46,1367119.7369435956
47,1367119.7369435956
48,1367119.7369435956
49,1367119.7369435956
50,1367119.7369435956
51,1367119.7369435956
52,1367119.7369435956
53,1367119.7369435956
54,1367119.7369435956
55,1367119.7369435956
56,1367119.7369435956
57,1367119.7369435956
58,1367119.7369435956
59,1367119.7369435956
60,1367119.7369435956
61,1367119.7369435956
62,1367119.7369435956
