,0
0,1287320.882746216
1,1287992.5708877596
2,1291328.343623351
3,1293975.8794395982
4,1287085.3466801587
5,1293036.5612454244
6,1295697.6475785144
7,1300502.2027438162
8,1301441.1351057435
9,1305815.7076431913
10,1296085.2888390764
11,1296615.6930310011
12,1298105.5861330854
13,1309909.9365367894
14,1316060.8386325864
15,1318435.1655832771
16,1316536.2396195843
17,1305622.614669475
18,1308101.9559007206
19,1307494.651396561
20,1306187.2204700003
21,1306187.2204700003
22,1306187.2204700003
23,1306187.2204700003
24,1306187.2204700003
25,1306187.2204700003
26,1306187.2204700003
27,1306187.2204700003
28,1306187.2204700003
29,1306187.2204700003
30,1306187.2204700003
31,1306187.2204700003
32,1306187.2204700003
33,1306187.2204700003
34,1306187.2204700003
35,1305448.9237418517
36,1306711.2807896277
37,1313024.434432794
38,1312518.2837631623
39,1314390.6344776666
40,1309484.893797299
41,1308659.2365170484
42,1308659.2365170484
43,1308036.896866258
44,1307604.0994210169
45,1305442.7540877913
46,1303061.6291329819
47,1307275.8576185429
48,1306615.1894984825
49,1306615.1894984825
50,1306615.1894984825
51,1306615.1894984825
52,1307481.740728181
53,1307313.7348709693
54,1308718.0059372662
55,1309165.251614484
56,1305212.74163839
57,1304526.0907293758
58,1299726.535686619
59,1301683.7280231433
60,1300865.9011649422
61,1300865.9011649422
62,1300865.9011649422
