,0
0,1041167.7393452862
1,1039955.172470648
2,1023456.0932501885
3,1026994.0543969454
4,1027703.9380639017
5,1037926.9182982895
6,1053722.0494610828
7,1056559.689069185
8,1051223.5921474295
9,1060717.4486128916
10,1069603.1543771862
11,1074520.7203590933
12,1070662.9744683295
13,1067580.6591239579
14,1065262.6341583675
15,1065983.7449291658
16,1070795.3300106653
17,1059582.7898379238
18,1058012.9172753834
19,1066112.0501394314
20,1054353.2913476268
21,1047535.5236428068
22,1047775.7709865893
23,1051144.7557933987
24,1049064.6923757386
25,1065820.1567963883
26,1055729.605329924
27,1059033.3798441652
28,1047577.3750771857
29,1057332.8028680903
30,1049650.1005169614
31,1053093.2567989
32,1049937.1969077487
33,1051881.977659856
34,1051057.6857850484
35,1060872.7675282129
36,1070084.4406633729
37,1064803.5874684188
38,1067994.833671133
39,1062126.7968382945
40,1063466.0642467083
41,1062772.9619916235
42,1059629.6205085153
43,1069032.3326357473
44,1076126.8520657455
45,1079254.4055806904
46,1077367.191150798
47,1069759.6566813933
48,1066496.8645357408
49,1059327.6706888413
50,1056768.426380699
51,1066754.6952376114
52,1060812.1350210134
53,1066478.5327869032
54,1070333.165704833
55,1067271.0830598616
56,1079038.434052906
57,1045986.7854325122
58,1032270.4429071434
59,1047783.6177753708
60,1067056.9097956447
61,1081919.3105374153
62,1081994.5097559358
