,0
0,1221975.7938112204
1,1229395.0064554904
2,1225347.3341605996
3,1231536.4281269985
4,1233276.4497771547
5,1235414.7693747345
6,1241724.5162083711
7,1237450.1060597522
8,1235696.3619114878
9,1238192.7591775756
10,1240907.8057837144
11,1235465.2952285276
12,1235628.0258382962
13,1234164.996679001
14,1239047.245946622
15,1248988.283154329
16,1249101.222066255
17,1248139.2640433507
18,1243924.5790546576
19,1240472.4270437795
20,1269212.037471559
21,1269458.2067138099
22,1277400.2887914302
23,1281522.3186115841
24,1286799.6680321929
25,1289790.8132912414
26,1292801.9901433506
27,1294217.414888293
28,1302168.5910529296
29,1311531.668230695
30,1316325.9465947237
31,1318214.305429114
32,1320294.0323236424
33,1327440.616255773
34,1329972.9102237877
35,1330351.2891947483
36,1332068.0785343333
37,1332743.5851638527
38,1331429.9473507572
39,1353252.9296598223
40,1346312.2417134962
41,1347957.8153810676
42,1343882.4260684145
43,1343169.1803074346
44,1336694.5808515714
45,1337366.5424181134
46,1341315.0922848424
47,1339473.7484797807
48,1337975.3753217156
49,1348440.371637917
50,1349015.4107799754
51,1345345.6769300178
52,1352245.0661829957
53,1339373.5915974067
54,1348496.034701906
55,1345720.908689851
56,1342402.5275301647
57,1344677.7902473256
58,1363714.0087711136
59,1365382.4100910355
60,1367483.674530896
61,1363281.744543296
62,1362865.7072765676
