,0
0,1070927.381127332
1,1076839.6073143317
2,1067312.6250086462
3,1070157.8567847451
4,1067956.9178294204
5,1079660.252546618
6,1093614.8744438244
7,1093680.0900367948
8,1093653.216313814
9,1100773.8661882181
10,1104233.8424362324
11,1100052.1972167487
12,1095125.1851494545
13,1096340.6024934575
14,1095232.7578319947
15,1100476.779389812
16,1110823.9907707716
17,1098091.7728999723
18,1091010.0489572498
19,1094668.1904185342
20,1086953.972549475
21,1079541.409073928
22,1082437.1071593936
23,1088684.4102550375
24,1087671.4532603745
25,1100086.6295926524
26,1085831.331850591
27,1090016.4860647065
28,1075540.8631805482
29,1087948.9911776069
30,1073966.7942184913
31,1068392.6956399747
32,1072426.4482949756
33,1077261.0214822192
34,1075604.2125606055
35,1086282.7904751704
36,1095757.3409128084
37,1096610.6058231585
38,1098557.3956997157
39,1092444.003328401
40,1093707.2376133236
41,1098241.6285287915
42,1096095.7254778936
43,1107715.875951669
44,1108207.2046284468
45,1113685.5924909364
46,1112230.3264078754
47,1107184.3190532706
48,1099438.0967213747
49,1100255.315000482
50,1096655.1398118117
51,1100433.1046833014
52,1095465.924929188
53,1105346.0085702664
54,1106294.7669213647
55,1105892.0849824774
56,1119879.6915595364
57,1079206.9064962787
58,1061170.9061358687
59,1076904.7286536347
60,1098350.2409069145
61,1114906.3533795862
62,1114692.690431724
