,0
0,1073582.630842143
1,1079686.7757341727
2,1074854.609810155
3,1076694.0989307761
4,1073677.9972425585
5,1083496.19706739
6,1090655.4196145022
7,1093273.1864633253
8,1092061.698243564
9,1099698.6753733775
10,1107158.8155536505
11,1107155.1409118504
12,1100691.334700586
13,1103588.5108684686
14,1104894.5791952556
15,1104775.4479286468
16,1109395.5268702095
17,1100313.1274050095
18,1096516.7956751587
19,1103849.1784074265
20,1094532.8823057378
21,1088823.037062608
22,1089597.5304678057
23,1094421.916443552
24,1090472.6548949343
25,1105063.6142703197
26,1091413.688582887
27,1091633.2204660934
28,1078095.7405921996
29,1086979.3839185229
30,1078103.7526212623
31,1082845.913818745
32,1074356.6823129796
33,1076760.6685188962
34,1078078.449587917
35,1088648.0805850616
36,1098605.4860504095
37,1094383.5642800727
38,1097468.1635624273
39,1091293.0064093291
40,1092341.3135966181
41,1092329.150871971
42,1089011.4169028169
43,1096631.9540912663
44,1094311.2117358511
45,1095897.8338868727
46,1095081.8499215252
47,1087288.1430601361
48,1079613.056370843
49,1077420.3743682534
50,1074636.1249455046
51,1080216.3287177703
52,1075747.2204543375
53,1082028.1888168415
54,1083655.9701511678
55,1081555.625302689
56,1094697.818915676
57,1053231.4482249236
58,1040605.8998207975
59,1058894.9258567272
60,1074474.861007251
61,1090158.4131523347
62,1090325.2196437838
