,0
0,1000000.0
1,999828.2573695524
2,998008.1017361118
3,992927.7218478258
4,990902.3729698737
5,992154.6755246304
6,993900.9273507271
7,987528.109706103
8,993093.406720381
9,986120.418201772
10,988718.0177712825
11,980633.5396217224
12,985181.9692130246
13,992110.0027466884
14,987437.1233704293
15,1003120.3212136608
16,1001290.6023157153
17,1007937.2252574515
18,1024911.3507444016
19,1024220.1057802967
20,1013964.0231598981
21,1017860.9364601384
22,1019019.5995523303
23,997259.2886435547
24,991859.6575217757
25,993990.8844151782
26,987962.9789762866
27,973247.0783387348
28,996194.8533928017
29,1008091.8391273578
30,1014160.5343648022
31,1014172.4439851022
32,1012368.9135006173
33,1022054.360403856
34,1009013.1547648489
35,1012540.1790043229
36,1025115.68019149
37,1020466.878545732
38,1013576.4204982796
39,1035697.2518149988
40,1034544.6386085555
41,1031122.5136352835
42,1034688.1784467347
43,1034796.7430847884
44,1029888.2181771805
45,1037162.6985985008
46,1038336.2244864748
47,1052569.90314093
48,1053135.6965655515
49,1054533.3166458278
50,1055572.5670205988
51,1058360.4282163472
52,1067253.6869688635
53,1065653.503850394
54,1063915.9498372867
55,1063270.4755803372
56,1062147.4160389123
57,1062677.811673508
58,1066144.6511917452
59,1073191.9096276634
60,1067677.38308246
61,1074722.944831316
62,1073582.630842143
