,0
0,1389692.2345770388
1,1388639.1023511654
2,1388500.643980907
3,1388500.643980907
4,1388500.643980907
5,1388500.643980907
6,1388500.643980907
7,1388500.643980907
8,1388500.643980907
9,1388500.643980907
10,1388500.643980907
11,1388500.643980907
12,1388500.643980907
13,1388500.643980907
14,1388500.643980907
15,1388500.643980907
16,1388500.643980907
17,1388500.643980907
18,1388500.643980907
19,1388500.643980907
20,1388500.643980907
21,1388500.643980907
22,1388500.643980907
23,1388500.643980907
24,1388500.643980907
25,1388500.643980907
26,1388500.643980907
27,1388500.643980907
28,1388500.643980907
29,1388500.643980907
30,1388500.643980907
31,1388500.643980907
32,1388500.643980907
33,1388500.643980907
34,1388500.643980907
35,1388500.643980907
36,1388500.643980907
37,1387814.2781470283
38,1389147.3844138402
39,1388872.6879511573
40,1388872.6879511573
41,1388872.6879511573
42,1391615.182801457
43,1391487.981610107
44,1391487.981610107
45,1391487.981610107
46,1391487.981610107
47,1391487.981610107
48,1391487.981610107
49,1391487.981610107
50,1391487.981610107
51,1391487.981610107
52,1391487.981610107
53,1391487.981610107
54,1391487.981610107
55,1391487.981610107
56,1391487.981610107
57,1391487.981610107
58,1391487.981610107
59,1391487.981610107
60,1391487.981610107
61,1391487.981610107
62,1391487.981610107
