account_value,datadate,daily_return,Date
1000000.0,20160104,,2016-01-04
999483.395601434,20160105,-0.0005166043985659341,2016-01-05
997984.0239265994,20160106,-0.0015001466571962219,2016-01-06
993871.2834180759,20160107,-0.004121048443583075,2016-01-07
991902.7211639644,20160108,-0.001980701411697261,2016-01-08
992233.3896586136,20160111,0.00033336786722504286,2016-01-11
994095.4891529828,20160112,0.0018766748970320268,2016-01-12
985637.2493839774,20160113,-0.008508478170655698,2016-01-13
989998.9305432823,20160114,0.004425239774603629,2016-01-14
980912.0872594796,20160115,-0.00917863949490949,2016-01-15
981383.2276548741,20160119,0.0004803084817832648,2016-01-19
972988.9522657985,20160120,-0.00855351421598538,2016-01-20
975182.6153808506,20160121,0.002254561174557912,2016-01-21
982498.3266430484,20160122,0.007501888514840571,2016-01-22
973888.8392992269,20160125,-0.0087628519157259,2016-01-25
980826.1037168878,20160126,0.007123261031159123,2016-01-26
973682.4695492955,20160127,-0.007283283082007208,2016-01-27
979541.820788858,20160128,0.006017722843746798,2016-01-28
999727.2250804128,20160129,0.020606985697965152,2016-01-29
1001516.9219999668,20160201,0.0017901852371882132,2016-02-01
989472.5124269014,20160202,-0.012026166816046957,2016-02-02
993067.0067852492,20160203,0.0036327379621001743,2016-02-03
996435.3252025695,20160204,0.00339183397928422,2016-02-04
984975.4655450946,20160205,-0.011500856470684773,2016-02-05
972882.3631086408,20160208,-0.012277567167382597,2016-02-08
975223.1498155992,20160209,0.00240603262606065,2016-02-09
970168.363889268,20160210,-0.005183209532389599,2016-02-10
953804.8660625872,20160211,-0.016866657825330256,2016-02-11
981389.112146102,20160212,0.028920219496662458,2016-02-12
990605.3044119681,20160216,0.009390966490052222,2016-02-16
1004952.441494138,20160217,0.014483202359476977,2016-02-17
995668.2965458928,20160218,-0.009238392350628732,2016-02-18
996198.5835817866,20160219,0.0005325940754901115,2016-02-19
1010355.1655887552,20160222,0.014210602424337138,2016-02-22
999633.355054645,20160223,-0.010611922321258516,2016-02-23
1003246.3802081131,20160224,0.0036143503367498386,2016-02-24
1014335.862741878,20160225,0.01105359835085018,2016-02-25
1011570.1510571007,20160226,-0.002726623188991084,2016-02-26
1003899.5357176426,20160229,-0.007582880269294434,2016-02-29
1026834.6281602237,20160301,0.02284600363539946,2016-03-01
1026293.4342898435,20160302,-0.0005270506618478832,2016-03-02
1030706.4947266816,20160303,0.004299998703481744,2016-03-03
1034023.1675590223,20160304,0.0032178635230393215,2016-03-04
1037276.205809878,20160307,0.0031460013207778026,2016-03-07
1032991.9173958424,20160308,-0.004130325548816094,2016-03-08
1035196.4188067476,20160309,0.0021340935720608467,2016-03-09
1033026.8429820085,20160310,-0.002095810790419872,2016-03-10
1047112.4047006002,20160311,0.013635233018661319,2016-03-11
1047109.1026985459,20160314,-3.1534360966922748e-06,2016-03-14
1048935.2690086635,20160315,0.0017440076735186771,2016-03-15
1053466.3724686631,20160316,0.004319716949056307,2016-03-16
1060451.0078427377,20160317,0.006630145542953603,2016-03-17
1067155.4458340588,20160318,0.006322251515381128,2016-03-18
1070351.697863307,20160321,0.002995113825006168,2016-03-21
1068764.5544292706,20160322,-0.001482824231703317,2016-03-22
1064575.196259445,20160323,-0.003919813912674819,2016-03-23
1064251.3426492785,20160324,-0.0003042092388630957,2016-03-24
1065124.505061197,20160328,0.0008204475549404844,2016-03-28
1069507.213402556,20160329,0.004114738061638201,2016-03-29
1073746.5804534557,20160330,0.003963850825664306,2016-03-30
1069745.403186352,20160331,-0.0037263702068451865,2016-03-31
1078047.0155147687,20160401,0.0077603627028350886,2016-04-01
1073414.804247225,20160404,-0.004296854590643107,2016-04-04
1073414.804247225,20160405,0.0,2016-04-05
1068973.32371554,20160406,-0.004137711268850652,2016-04-06
1054624.9974810996,20160407,-0.013422529745240608,2016-04-07
1055285.0961273229,20160408,0.0006259084013748861,2016-04-08
1054208.0765361341,20160411,-0.001020595851434991,2016-04-11
1063996.2064507876,20160412,0.009284817800689682,2016-04-12
1076746.4991689778,20160413,0.011983400543054357,2016-04-13
1077575.0875487174,20160414,0.0007695296714491651,2016-04-14
1075497.138716105,20160415,-0.001928356414901411,2016-04-15
1080256.2425811978,20160418,0.004425026988704062,2016-04-18
1086998.3066475566,20160419,0.006241171122741251,2016-04-19
1093763.367293706,20160420,0.006223616545469657,2016-04-20
1084751.609493096,20160421,-0.008239220721853013,2016-04-21
1086620.168717949,20160422,0.0017225687507633758,2016-04-22
1085487.2941976606,20160425,-0.0010425671756350008,2016-04-25
1086701.3146979846,20160426,0.0011184106039872077,2016-04-26
1080754.3142945806,20160427,-0.005472525267954387,2016-04-27
1067805.305835443,20160428,-0.011981454330431629,2016-04-28
1060015.8131832415,20160429,-0.007294862284006998,2016-04-29
1067615.1666002446,20160502,0.0071690943875470925,2016-05-02
1062365.3339526858,20160503,-0.00491734551156342,2016-05-03
1056174.6770571796,20160504,-0.005827239178139321,2016-05-04
1054971.930493425,20160505,-0.0011387761796237683,2016-05-05
1056819.419321363,20160506,0.001751220837765688,2016-05-06
1057476.2098445965,20160509,0.0006214784770468551,2016-05-09
1068926.9577544485,20160510,0.010828374012815667,2016-05-10
1054330.4353399456,20160511,-0.013655303862077361,2016-05-11
1050157.95219854,20160512,-0.003957471966613779,2016-05-12
1039802.8573926229,20160513,-0.009860511729914978,2016-05-13
1051654.2246667205,20160516,0.011397706007286512,2016-05-16
1041176.5174399579,20160517,-0.00996307244435124,2016-05-17
1045834.7373410534,20160518,0.0044739963138518135,2016-05-18
