,0
0,1642582.5810403244
1,1643118.44824577
2,1644647.1528507792
3,1645832.3318565853
4,1643254.7760759012
5,1646900.6822666938
6,1647549.3715154259
7,1646534.0395981849
8,1649923.274496776
9,1650006.4447242636
10,1648977.5149940192
11,1647353.6701441212
12,1647718.9825161034
13,1655273.6932156805
14,1662108.533488198
15,1659891.1962532774
16,1652714.6016320237
17,1647361.9264965435
18,1646643.265026211
19,1650810.6997412844
20,1649159.8917152788
21,1649159.8917152788
22,1649159.8917152788
23,1649159.8917152788
24,1649159.8917152788
25,1649159.8917152788
26,1649159.8917152788
27,1649159.8917152788
28,1649159.8917152788
29,1649159.8917152788
30,1649159.8917152788
31,1649159.8917152788
32,1649159.8917152788
33,1649159.8917152788
34,1649159.8917152788
35,1648455.1869751909
36,1650061.6420584298
37,1652838.0402844343
38,1653373.0169356503
39,1655672.5427338365
40,1651391.8129163492
41,1650689.9632235512
42,1650689.9632235512
43,1650582.8244298338
44,1651235.4247175064
45,1649904.8997632177
46,1649204.7516786624
47,1652167.0219334513
48,1651489.9673427893
49,1651489.9673427893
50,1651489.9673427893
51,1651489.9673427893
52,1651785.0922823602
53,1651708.9452269126
54,1652840.0825488593
55,1653674.9187846456
56,1650939.1144585656
57,1649092.5590550338
58,1646858.4598341105
59,1648412.0231517921
60,1647741.892164361
61,1647741.892164361
62,1647741.892164361
