,0
0,1723985.7446276757
1,1723949.7464705182
2,1723819.9457592196
3,1723819.9357592196
4,1723820.3057592197
5,1723819.5357592197
6,1723818.9957592196
7,1723817.4957592196
8,1723816.9957592196
9,1723817.9957592196
10,1723817.6857592196
11,1723815.6157592197
12,1723816.3157592197
13,1723815.8657592197
14,1723815.1257592198
15,1723815.6757592196
16,1723814.3157592197
17,1723813.5657592197
18,1723814.2357592196
19,1723813.5057592196
20,1723813.4257592196
21,1723815.5457592197
22,1723815.7257592196
23,1723816.7857592197
24,1723816.4657592196
25,1723818.3157592197
26,1723818.6957592196
27,1723818.6057592197
28,1723817.3057592197
29,1723816.9057592195
30,1723817.0957592197
31,1723817.3957592195
32,1723816.7557592196
33,1723815.7257592196
34,1723816.6657592196
35,1723818.4457592196
36,1723824.1857592196
37,1723823.4057592195
38,1723824.3657592197
39,1723824.0757592197
40,1723821.7857592197
41,1723821.1357592198
42,1723818.8357592197
43,1723816.9657592196
44,1723816.4957592196
45,1723815.7357592196
46,1723813.8357592197
47,1723814.8057592197
48,1723815.4257592196
49,1723816.0757592197
50,1723815.2857592197
51,1723815.0657592197
52,1723813.3057592197
53,1723813.4257592196
54,1723812.4557592196
55,1723811.2757592197
56,1723813.6657592196
57,1724007.371738448
58,1724289.2536791828
59,1724626.4170772373
60,1726208.5236227773
61,1730900.3042537977
62,1729399.427408516
