,0
0,1479259.7490418423
1,1479708.039041842
2,1480997.627857793
3,1483456.5661012009
4,1480730.8719674733
5,1485693.2867919384
6,1489618.3994052028
7,1486625.6191771817
8,1489288.6990542249
9,1491625.7602642123
10,1488932.690384552
11,1487691.153176423
12,1489013.5203614552
13,1499298.1033617512
14,1505941.3464796161
15,1509075.0682816796
16,1501809.7758248055
17,1497152.2083562005
18,1502705.90425792
19,1497677.9069543749
20,1496180.236117223
21,1496180.236117223
22,1496180.236117223
23,1496180.236117223
24,1496180.236117223
25,1496180.236117223
26,1496180.236117223
27,1496180.236117223
28,1496180.236117223
29,1496180.236117223
30,1496180.236117223
31,1496180.236117223
32,1496180.236117223
33,1496180.236117223
34,1496180.236117223
35,1496038.4591172235
36,1497416.1317964557
37,1499502.7717823107
38,1500082.9168057265
39,1501862.4728575875
40,1498346.2080699822
41,1497541.524015542
42,1497541.524015542
43,1497534.6615395192
44,1498345.398295601
45,1497861.4367876044
46,1497595.7102058567
47,1500926.8725035433
48,1500238.7879128235
49,1500238.7879128235
50,1500238.7879128235
51,1500238.7879128235
52,1500729.9639128232
53,1500580.4999128236
54,1501705.5409128235
55,1503152.661352709
56,1500663.562851476
57,1498652.1239054585
58,1498293.3503875663
59,1499994.8920756332
60,1499172.3121928927
61,1499172.3121928927
62,1499172.3121928927
