,0
0,1083784.1188326625
1,1081952.058725146
2,1075069.6707855272
3,1078352.6914215195
4,1077890.2964377499
5,1088401.347698447
6,1095962.2549102816
7,1098786.589646845
8,1098417.885093476
9,1104743.0334538657
10,1107503.8660615177
11,1103473.2340105108
12,1099456.3601307517
13,1102969.3929472931
14,1103645.111061855
15,1108490.0310399516
16,1114253.411514092
17,1106927.7612396663
18,1100955.6171916318
19,1107595.699458546
20,1098189.3983856437
21,1094298.2162760608
22,1094052.8990360314
23,1098913.4525324774
24,1097740.594622898
25,1111150.7101984133
26,1101479.187810952
27,1105754.9421880213
28,1091962.9033181514
29,1103193.885957619
30,1093953.1337794913
31,1090051.2513245093
32,1084328.6152742407
33,1090558.400775728
34,1095387.4396421441
35,1107298.2653240955
36,1113627.0328593266
37,1106156.1433722943
38,1109250.733279231
39,1101662.756309279
40,1103455.939516659
41,1108184.6054377872
42,1113449.057113731
43,1120114.1851733995
44,1122552.8179925277
45,1123442.0684617893
46,1120491.352606341
47,1115181.0711186947
48,1106112.1659056633
49,1100067.6841099476
50,1096484.9356144774
51,1103385.1749892284
52,1107760.360603306
53,1113983.6510975305
54,1115412.6510742276
55,1112349.653682774
56,1124893.2533417947
57,1083476.7287040618
58,1060477.7354119834
59,1060522.6532739755
60,1079883.8450508078
61,1091460.6904118075
62,1089740.1570277386
