,0
0,1252859.124569259
1,1258236.9739490966
2,1266787.7540959956
3,1267118.668486191
4,1265758.4184958357
5,1269435.1026978504
6,1269662.6765203695
7,1270202.6037448936
8,1272146.227566275
9,1278643.6537156685
10,1274116.1544308227
11,1279674.9198150253
12,1279559.596631481
13,1287132.4608304373
14,1287386.263292168
15,1311597.448706498
16,1303541.2917267063
17,1305564.0589140533
18,1316910.6289619026
19,1313521.9399243284
20,1315400.9547670886
21,1318291.9658477916
22,1324598.6412529824
23,1328544.4246658378
24,1334388.4114537013
25,1337942.4776772226
26,1335848.2211953201
27,1327337.9145506595
28,1326236.2444581152
29,1325926.4289423598
30,1325397.1170135026
31,1310583.5589534633
32,1320508.5294363014
33,1314342.3280590514
34,1318984.2105703766
35,1331319.0692666548
36,1330778.9654832908
37,1329329.0485387775
38,1330156.275139511
39,1341203.5009716484
40,1336476.8746552933
41,1357054.6656637455
42,1355621.6006993055
43,1350807.0995965153
44,1345132.6325631628
45,1345680.7929035872
46,1351285.623556788
47,1353008.1603844585
48,1359747.895128419
49,1355948.747973191
50,1371964.2933798789
51,1362653.3992118319
52,1372427.9237229268
53,1388248.5666915409
54,1387909.9697500614
55,1389025.8105541621
56,1391626.2126788935
57,1393406.2156750408
58,1386905.2219117677
59,1391846.3801000672
60,1395844.2413011566
61,1388407.0527672847
62,1392037.5489455175
