,0
0,1207867.2223461736
1,1200187.2513079103
2,1207711.4883784668
3,1204824.3548846112
4,1204037.3102574758
5,1212911.437667552
6,1214542.209483708
7,1220981.1776382513
8,1221043.9333240397
9,1217299.5698037576
10,1221849.8676111158
11,1222754.062480217
12,1219327.9342922792
13,1215198.8323053573
14,1226682.2706947129
15,1222648.234174588
16,1225148.9098502293
17,1223923.7688357788
18,1223502.1622364644
19,1224178.6505002398
20,1223642.1432885027
21,1222558.3078483902
22,1224790.1269470742
23,1225322.5000189105
24,1223154.9124620876
25,1221260.4815695523
26,1213187.112885751
27,1212340.004603209
28,1218888.006277858
29,1219837.4362247284
30,1219689.2953185593
31,1204550.7218657958
32,1203643.2142838647
33,1204557.6955194823
34,1215712.0016456435
35,1211792.5752412807
36,1207678.2208944375
37,1208303.443560282
38,1206072.3176718554
39,1209281.405721027
40,1212783.2600370373
41,1220769.1480343696
42,1222384.3843583583
43,1198276.3096843865
44,1200339.4942741608
45,1198702.8782491495
46,1200517.8952386058
47,1220399.8113272619
48,1229532.503802905
49,1231544.7105716753
50,1236233.1898680571
51,1241545.488939234
52,1246603.1763047874
53,1248816.131603485
54,1246575.1834580884
55,1243367.2361436274
56,1241212.2327770253
57,1239434.2528456103
58,1238949.3196542682
59,1239335.9306539244
60,1240431.6931896647
61,1241666.9673023012
62,1252859.124569259
