account_value,datadate,daily_return,Date
1000000.0,20160104,,2016-01-04
999972.718761184,20160105,-2.7281238816012632e-05,2016-01-05
997247.789318218,20160106,-0.002725003784445068,2016-01-06
992648.2525796816,20160107,-0.004612230568774689,2016-01-07
991046.323595703,20160108,-0.0016137931838549058,2016-01-08
989811.01868978,20160111,-0.001246465353346049,2016-01-11
990489.4421174438,20160112,0.0006854070270523316,2016-01-12
982467.1553186564,20160113,-0.008099315810613406,2016-01-13
989132.2654031992,20160114,0.0067840538469514655,2016-01-14
978303.1241079731,20160115,-0.010948122585822118,2016-01-15
978887.739333128,20160119,0.0005975808629743451,2016-01-19
968499.2360072456,20160120,-0.010612558425708296,2016-01-20
973962.0146254031,20160121,0.005640457333428994,2016-01-21
985266.1464599168,20160122,0.01160633748007256,2016-01-22
976179.298589444,20160125,-0.00922273428669207,2016-01-25
992081.5981856224,20160126,0.0162903470900857,2016-01-26
975967.5790115648,20160127,-0.016242634883590013,2016-01-27
982072.8666158634,20160128,0.0062556254281334045,2016-01-28
1001937.54305042,20160129,0.02022729382902977,2016-01-29
1005419.9176839448,20160201,0.0034756404305626987,2016-02-01
1002506.5680199695,20160202,-0.0028976446683952606,2016-02-02
1016311.9690104298,20160203,0.01377088333468679,2016-02-03
1023935.1843216128,20160204,0.007500861490990385,2016-02-04
1005997.2460178629,20160205,-0.017518626743580734,2016-02-05
998998.7009057916,20160208,-0.0069568233310521865,2016-02-08
1002809.6257495248,20160209,0.0038147445439897787,2016-02-09
997104.0855370301,20160210,-0.005689554693125487,2016-02-10
976669.3268641544,20160211,-0.020494107856222188,2016-02-11
996562.8513148464,20160212,0.020368740886503645,2016-02-12
1009789.4606742688,20160216,0.013272227980374085,2016-02-16
1023185.7303793984,20160217,0.013266398815634739,2016-02-17
1016778.3017141222,20160218,-0.006262234191734106,2016-02-18
1012686.3454059048,20160219,-0.0040244331545225,2016-02-19
1025095.149377862,20160222,0.012253353694606783,2016-02-22
1013608.9949674277,20160223,-0.011204964161039443,2016-02-23
1016485.9719499394,20160224,0.0028383498931006113,2016-02-24
1028894.2783093159,20160225,0.012207061092612603,2016-02-25
1028378.2434484784,20160226,-0.0005015431339412402,2016-02-26
1021171.6083920264,20160229,-0.007007766940193005,2016-02-29
1042235.6822065831,20160301,0.020627359438366133,2016-03-01
1041182.171249147,20160302,-0.0010108183546408966,2016-03-02
1038186.1995316269,20160303,-0.0028774712055679164,2016-03-03
1043837.8339225882,20160304,0.00544375796317742,2016-03-04
1046740.473390076,20160307,0.002780737939513278,2016-03-07
1039658.5865427022,20160308,-0.006765656843704226,2016-03-08
1043650.5634011908,20160309,0.003839699791990059,2016-03-09
1042639.6954723763,20160310,-0.0009685884952911339,2016-03-10
1057465.3894605646,20160311,0.014219383793431462,2016-03-11
1059051.6205853585,20160314,0.001500031245091682,2016-03-14
1061402.9702247977,20160315,0.0022202408208766844,2016-03-15
1065438.731380387,20160316,0.0038022892989779677,2016-03-16
1074179.2287931894,20160317,0.008203660290703185,2016-03-17
1082632.4732658034,20160318,0.007869491650951854,2016-03-18
1080315.2227382672,20160321,-0.0021403852043585525,2016-03-21
1079024.317403708,20160322,-0.001194933948340804,2016-03-22
1076093.0257302446,20160323,-0.002716613171903748,2016-03-23
1075596.320304649,20160324,-0.0004615822365902078,2016-03-24
1079783.040388934,20160328,0.0038924641199025167,2016-03-28
1076727.1732631463,20160329,-0.002830075127580267,2016-03-29
1085783.3334156466,20160330,0.00841082158728712,2016-03-30
1079419.9545226162,20160331,-0.005860634158946332,2016-03-31
1085323.047801004,20160401,0.005468764268860005,2016-04-01
1083784.1188326622,20160404,-0.0014179455337836044,2016-04-04
1083784.1188326622,20160405,0.0,2016-04-05
1081952.0587251459,20160406,-0.0016904290030469449,2016-04-06
1075069.6707855272,20160407,-0.006361084009330442,2016-04-07
1078352.6914215195,20160408,0.003053774769400164,2016-04-08
1077890.29643775,20160411,-0.00042879754225855216,2016-04-11
1088401.347698447,20160412,0.009751503743409051,2016-04-12
1095962.2549102816,20160413,0.00694680067038056,2016-04-13
1098786.589646845,20160414,0.0025770365027713016,2016-04-14
1098417.885093476,20160415,-0.0003355561096604065,2016-04-15
1104743.0334538657,20160418,0.005758417125419912,2016-04-18
1107503.8660615177,20160419,0.0024990722041673408,2016-04-19
1103473.2340105108,20160420,-0.003639384181420957,2016-04-20
1099456.3601307515,20160421,-0.003640209618098522,2016-04-21
1102969.3929472931,20160422,0.003195245344820963,2016-04-22
1103645.111061855,20160425,0.0006126354175215454,2016-04-25
1108490.0310399516,20160426,0.004389925646873127,2016-04-26
1114253.411514092,20160427,0.005199307447747881,2016-04-27
1106927.7612396665,20160428,-0.006574492120666853,2016-04-28
1100955.6171916318,20160429,-0.00539524281272552,2016-04-29
1107595.699458546,20160502,0.006031198863267528,2016-05-02
1098189.3983856435,20160503,-0.008492540263112969,2016-05-03
1094298.2162760608,20160504,-0.003543270509898222,2016-05-04
1094052.8990360314,20160505,-0.00022417768427340778,2016-05-05
1098913.4525324774,20160506,0.004442704279407961,2016-05-06
1097740.594622898,20160509,-0.0010672886994663733,2016-05-09
1111150.710198413,20160510,0.012216106101206936,2016-05-10
1101479.187810952,20160511,-0.008704059943168363,2016-05-11
1105754.9421880213,20160512,0.0038818294747509086,2016-05-12
1091962.9033181514,20160513,-0.012472961542978722,2016-05-13
1103193.8859576192,20160516,0.01028513203639081,2016-05-16
1093953.1337794913,20160517,-0.008376362755225464,2016-05-17
1090051.2513245093,20160518,-0.0035667729580896035,2016-05-18
