,0
0,1414301.2683537793
1,1398177.361350505
2,1398738.77139163
3,1428167.68287259
4,1413682.0401377042
5,1434350.5142493781
6,1421908.6941306982
7,1432144.051410441
8,1440775.920825669
9,1443941.5963182033
10,1433233.1423096964
11,1431841.4564975793
12,1431841.4564975793
13,1431841.4564975793
14,1431841.4564975793
15,1431841.4564975793
16,1431841.4564975793
17,1431841.4564975793
18,1431841.4564975793
19,1431841.4564975793
20,1431841.4564975793
21,1431841.4564975793
22,1431841.4564975793
23,1431841.4564975793
24,1431841.4564975793
25,1431841.4564975793
26,1431841.4564975793
27,1431841.4564975793
28,1431841.4564975793
29,1432133.5254667497
30,1432011.6677421222
31,1431824.0489309416
32,1434066.454357605
33,1432276.9308044324
34,1433298.1351630306
35,1430495.6469336138
36,1428148.2008101856
37,1418242.0707658005
38,1427008.3407409461
39,1418529.9900472292
40,1423829.200821164
41,1426657.5689461436
42,1425288.518417144
43,1438637.6610025964
44,1442758.7340950945
45,1444459.15192836
46,1446067.9509640709
47,1445256.789641782
48,1438695.8858905626
49,1436824.2171835497
50,1429476.0167943356
51,1424089.7760890084
52,1407389.5827852145
53,1405580.5359233068
54,1392208.8622903144
55,1400051.5756248569
56,1377153.8122404094
57,1379185.378112853
58,1370787.627808605
59,1378303.6429025296
60,1376712.3387361036
61,1375341.3758183285
62,1375341.3758183285
