,0
0,1319839.835105627
1,1319227.8688784349
2,1321324.9608484919
3,1321095.6506915644
4,1320670.297423794
5,1320592.7212386916
6,1320592.7212386916
7,1320592.7212386916
8,1320592.7212386916
9,1320592.7212386916
10,1320592.7212386916
11,1320592.7212386916
12,1320592.7212386916
13,1320592.7212386916
14,1320592.7212386916
15,1320592.7212386916
16,1320592.7212386916
17,1320592.7212386916
18,1320592.7212386916
19,1320592.7212386916
20,1320592.7212386916
21,1320592.7212386916
22,1320592.7212386916
23,1320592.7212386916
24,1320592.7212386916
25,1320592.7212386916
26,1320592.7212386916
27,1320592.7212386916
28,1320592.7212386916
29,1320592.7212386916
30,1320592.7212386916
31,1320592.7212386916
32,1320592.7212386916
33,1314712.060002786
34,1309565.5337210426
35,1309376.6009227694
36,1309376.6009227694
37,1307206.439740664
38,1307043.1200327505
39,1307043.1200327505
40,1307043.1200327505
41,1307043.1200327505
42,1307043.1200327505
43,1307043.1200327505
44,1307043.1200327505
45,1307043.1200327505
46,1307043.1200327505
47,1307043.1200327505
48,1307043.1200327505
49,1307043.1200327505
50,1307043.1200327505
51,1307043.1200327505
52,1307043.1200327505
53,1307043.1200327505
54,1307043.1200327505
55,1307043.1200327505
56,1307043.1200327505
57,1307043.1200327505
58,1307043.1200327505
59,1307043.1200327505
60,1307043.1200327505
61,1307043.1200327505
62,1307043.1200327505
